name,"""non-asIs""","""non-LR""","""non-LSR""","""non-RR""","""RS-asIs""","""RS-SVR""","""non-SVR""","""RS-LR""","""RS-LSR""","""RS-RR""","""DS-asIs""","""DS-LR""","""DS-LSR""","""DS-RR""","""DS-SVR""","""RS-LGBM""","""DS-LGBM""","""kmeans-1-k1""","""DS2-asIs""","""kmeans-3-k1""","""kmeans-3-k3""","""kmeans-5-k1""","""DS2-LR""","""DS2-LSR""","""DS2-RR""","""DS2-SVR""","""kmeans-5-k3""","""DS2-LGBM""","""kmeans-5-k5""","""non-LGBM"""
Apache_AllMeasurements.csv,0.02,0.06,0.06,0.06,0.07,0.09,0.09,0.1,0.1,0.1,0.16,0.18,0.18,0.18,0.18,0.19,0.21,0.27,0.31,0.32,0.34,0.34,0.35,0.35,0.35,0.35,0.36,0.37,0.38,0.46
auto93.csv,0.03,0.18,0.19,0.17,0.15,0.27,1.0,0.27,0.28,0.27,0.38,0.5,0.5,0.49,0.5,0.34,0.58,0.75,0.72,0.9,0.93,0.89,0.84,0.84,0.83,0.84,0.93,0.92,0.96,1.44
HSMGP_num.csv,0.42,0.27,0.31,0.13,4.33,4.07,20.42,3.97,3.98,3.97,12.61,12.23,12.24,12.23,12.33,16.7,19.85,5.95,23.87,6.94,7.75,7.51,23.54,23.55,23.54,23.64,8.31,39.59,8.97,24.99
pom3a.csv,1.24,0.47,1.47,0.31,21.93,21.97,1580.78,21.17,21.18,21.18,41.18,40.39,40.39,40.39,41.28,22.13,41.49,19.94,80.87,23.0,26.45,25.12,80.09,80.1,80.1,80.96,28.57,81.28,31.39,37.17
pom3b.csv,1.04,0.34,0.41,0.3,21.58,21.71,1593.78,20.82,20.83,20.82,40.21,39.44,39.45,39.45,40.45,21.79,40.53,19.76,79.51,22.89,26.32,24.9,78.74,78.75,78.75,79.74,28.33,79.68,31.18,12.88
pom3c.csv,1.01,0.34,0.36,0.29,21.8,21.78,1253.76,21.04,21.05,21.04,40.31,39.53,39.53,39.53,40.35,22.03,40.47,19.67,79.39,22.75,26.11,24.87,78.63,78.63,78.63,79.43,28.22,79.58,30.96,9.08
pom3d.csv,0.03,0.16,0.16,0.16,0.25,0.35,1.55,0.36,0.36,0.36,0.88,0.99,0.99,0.99,0.99,0.79,1.12,1.45,1.72,1.74,1.82,1.76,1.83,1.83,1.83,1.82,1.85,1.91,1.92,2.03
rs-6d-c3_obj1.csv,0.16,0.12,0.08,0.08,4.0,3.97,15.74,3.9,3.9,3.9,10.73,10.63,10.63,10.63,10.7,18.39,28.01,4.55,21.14,5.3,5.94,5.63,21.03,21.03,21.03,21.11,6.28,31.64,6.82,37.81
rs-6d-c3_obj2.csv,0.09,0.06,0.06,0.06,1.97,1.97,12.33,1.93,1.93,1.93,4.93,4.89,4.89,4.89,4.92,2.05,5.02,3.17,9.76,3.63,4.07,3.85,9.73,9.73,9.73,9.76,4.29,9.87,4.65,1.73
sol-6d-c2-obj1.csv,0.07,0.07,0.06,0.06,1.32,1.32,5.62,1.3,1.3,1.3,3.74,3.72,3.72,3.72,3.74,1.4,3.84,2.59,7.45,2.97,3.31,3.14,7.43,7.43,7.42,7.45,3.47,7.54,3.75,1.5
SQL_AllMeasurements.csv,1.59,8.83,0.38,0.8,8.44,7.32,167.55,7.13,7.15,7.13,27.62,26.16,26.17,26.16,26.36,46.49,69.07,11.53,49.95,13.41,15.06,14.3,48.52,48.53,48.52,48.7,15.94,105.51,17.26,277.22
SS-A.csv,0.1,0.15,0.15,0.15,0.8,0.9,7.43,0.88,0.88,0.87,2.6,2.65,2.66,2.65,2.69,23.32,12.87,2.13,5.03,2.51,2.72,2.68,5.09,5.09,5.09,5.13,2.89,15.45,3.05,29.45
SS-B.csv,0.02,0.27,0.26,0.23,0.09,0.18,0.75,0.19,0.19,0.19,0.23,0.33,0.33,0.33,0.33,2.58,2.01,0.22,0.46,0.28,0.3,0.29,0.55,0.56,0.55,0.55,0.3,2.35,0.32,11.42
SS-C.csv,0.11,0.15,0.15,0.15,1.24,1.33,8.18,1.28,1.28,1.28,2.97,3.0,2.99,2.99,3.03,7.97,10.42,2.67,5.72,3.15,3.43,3.27,5.76,5.76,5.76,5.8,3.55,12.17,3.78,25.62
SS-D.csv,0.02,0.12,0.13,0.13,0.06,0.13,0.19,0.14,0.14,0.13,0.18,0.25,0.26,0.25,0.25,0.19,0.32,0.18,0.34,0.24,0.25,0.25,0.41,0.42,0.42,0.41,0.26,0.46,0.27,19.16
SS-E.csv,0.03,0.12,0.12,0.11,0.26,0.33,1.37,0.33,0.33,0.33,0.63,0.69,0.7,0.69,0.69,0.49,0.78,0.79,1.25,0.92,0.98,0.95,1.32,1.32,1.32,1.32,1.0,1.41,1.05,1.57
SS-F.csv,0.02,0.11,0.12,0.12,0.07,0.14,0.17,0.15,0.14,0.14,0.19,0.26,0.27,0.27,0.25,0.2,0.31,0.18,0.35,0.24,0.25,0.25,0.42,0.42,0.42,0.42,0.26,0.49,0.27,0.66
SS-G.csv,0.02,0.11,0.11,0.11,0.06,0.13,0.17,0.14,0.14,0.14,0.18,0.25,0.26,0.26,0.25,0.19,0.31,0.18,0.35,0.24,0.25,0.25,0.42,0.43,0.42,0.41,0.26,0.47,0.27,0.7
SS-H.csv,0.01,0.11,0.11,0.11,0.09,0.15,0.16,0.15,0.15,0.16,0.27,0.34,0.34,0.34,0.33,0.21,0.4,0.65,0.51,0.8,0.83,0.83,0.59,0.58,0.58,0.58,0.85,0.67,0.87,0.85
SS-I.csv,0.05,0.13,0.13,0.12,0.45,0.51,2.3,0.5,0.51,0.5,1.39,1.45,1.45,1.44,1.45,0.58,1.52,1.44,2.75,1.7,1.83,1.75,2.82,2.82,2.81,2.82,1.88,2.88,1.99,20.22
SS-J.csv,0.16,0.15,0.13,0.12,2.12,2.17,20.82,2.09,2.09,2.09,5.74,5.71,5.71,5.71,5.79,2.35,5.99,3.8,11.36,4.37,4.91,4.63,11.33,11.33,11.33,11.4,5.15,11.6,5.58,3.58
SS-K.csv,0.21,0.23,0.17,0.17,3.69,3.79,25.82,3.63,3.64,3.64,9.93,9.87,9.86,9.86,9.97,21.42,20.95,6.59,18.69,7.68,8.56,8.22,18.65,18.66,18.65,18.76,9.12,57.29,9.8,55.27
SS-L.csv,0.08,0.16,0.16,0.16,1.14,1.25,24.64,1.22,1.22,1.22,5.21,5.29,5.29,5.29,5.34,13.03,13.41,5.72,10.25,6.86,7.37,7.15,10.33,10.33,10.33,10.36,7.66,21.31,8.08,36.03
SS-M.csv,0.11,0.4,0.41,0.31,0.44,0.52,10.38,0.5,0.52,0.51,1.17,1.23,1.26,1.24,1.25,0.58,1.32,1.23,2.22,1.5,1.59,1.55,2.28,2.31,2.3,2.3,1.64,2.36,1.72,3.65
SS-O.csv,0.08,0.18,0.2,0.16,0.44,0.5,3.18,0.48,0.5,0.49,1.49,1.53,1.53,1.53,1.54,0.54,1.59,1.53,2.88,1.81,1.94,1.88,2.93,2.93,2.93,2.94,2.01,2.98,2.11,1.99
SS-P.csv,0.12,0.2,0.21,0.19,0.43,0.47,32.55,0.45,0.46,0.46,1.0,1.02,1.03,1.02,1.04,0.5,1.06,1.03,1.91,1.22,1.31,1.28,1.93,1.94,1.93,1.95,1.36,1.97,1.43,65.94
SS-Q.csv,0.26,0.33,1.37,0.28,1.73,1.8,81.79,1.69,1.79,1.71,4.79,4.75,4.83,4.77,4.87,2.09,5.14,3.27,9.46,3.83,4.25,4.13,9.42,9.52,9.45,9.52,4.54,9.82,4.87,5.12
SS-R.csv,0.49,0.59,2.02,0.27,3.32,3.23,36.77,3.09,3.2,3.1,11.97,11.67,11.8,11.68,11.85,59.97,43.21,7.89,22.48,9.43,10.48,9.93,22.21,22.34,22.22,22.37,10.98,38.01,11.83,64.97
SS-S.csv,0.28,0.2,0.2,0.19,4.9,4.98,41.58,4.79,4.8,4.79,13.97,13.86,13.87,13.86,14.05,12.66,29.52,8.72,26.46,10.14,11.42,10.91,26.37,26.36,26.36,26.54,12.16,49.27,13.19,64.13
SS-T.csv,0.69,0.63,2.97,0.27,3.66,3.6,463.73,3.41,3.49,3.43,8.78,8.53,8.62,8.54,8.72,4.0,8.83,5.01,17.08,5.78,6.5,6.22,16.83,16.92,16.84,17.02,6.94,17.12,7.51,374.85
SS-U.csv,0.9,8.79,0.61,0.38,7.17,6.7,973.54,6.34,6.37,6.35,17.74,16.83,16.86,16.84,17.2,61.89,63.9,8.49,32.53,10.04,11.22,10.8,31.75,31.79,31.77,32.07,12.02,89.25,12.97,324.08
SS-V.csv,0.76,0.49,1.01,0.26,5.23,4.98,856.5,4.72,4.75,4.71,10.68,10.15,10.17,10.15,10.42,5.09,10.52,6.08,20.72,7.01,7.9,7.57,20.18,20.2,20.18,20.45,8.45,20.62,9.17,4.37
wc+rs-3d-c4-obj1.csv,0.01,0.06,0.05,0.05,0.06,0.08,0.08,0.1,0.09,0.09,0.19,0.23,0.22,0.23,0.23,0.12,0.27,0.2,0.36,0.25,0.26,0.25,0.4,0.4,0.4,0.39,0.27,0.43,0.28,0.54
wc+sol-3d-c4-obj1.csv,0.01,0.06,0.06,0.05,0.06,0.09,0.08,0.1,0.1,0.09,0.19,0.22,0.22,0.22,0.22,0.12,0.27,0.17,0.36,0.22,0.23,0.23,0.4,0.39,0.39,0.39,0.24,0.42,0.25,0.41
wc+wc-3d-c4-obj1.csv,0.01,0.06,0.06,0.05,0.06,0.09,0.08,0.1,0.1,0.09,0.19,0.22,0.22,0.22,0.22,0.12,0.25,0.18,0.35,0.24,0.25,0.24,0.39,0.39,0.39,0.39,0.25,0.42,0.27,0.37
wc-6d-c1-obj1.csv,0.08,0.07,0.06,0.06,1.4,1.4,7.2,1.38,1.38,1.38,4.21,4.19,4.19,4.19,4.21,1.48,4.3,2.89,8.32,3.32,3.7,3.51,8.3,8.3,8.29,8.32,3.88,8.41,4.2,48.28
Wine_quality.csv,0.12,0.2,0.19,0.18,1.62,1.73,27.24,1.68,1.69,1.68,5.21,5.27,5.27,5.27,5.31,18.99,30.94,3.98,10.14,4.68,5.13,4.79,10.2,10.2,10.19,10.22,5.23,35.52,5.58,430.78
X264_AllMeasurements.csv,0.1,0.1,0.18,0.11,0.53,0.5,13.79,0.49,0.5,0.49,1.43,1.39,1.4,1.39,1.4,0.51,1.41,1.38,2.76,1.63,1.75,1.7,2.73,2.73,2.72,2.73,1.82,2.74,1.92,1.29
